pipe_dn,pipe_schedule,flange_class,outside_diameter,length1,length2,wall_thickness,lumped_mass,raised_face_depth,w_neck_c,flange_outer_radius,flange_thickness_d,raised_face_radius,hot_spot_stress,frequency,max_deformation,x_deformation_position,y_deformation_position,z_deformation_position,support_right,support_left,support,ratio,allowable_deformation
50,40,300,60.3,2221.0,369.0,3.91,37.5,1.5,69.9,82.55,20.9,45.95,1.147,40.5562,0.10253,789.54,6.709,29.394,Fixed,Fixed,Fixed_Fixed,46.207,4.738
50,40,300,60.3,3960.0,3396.0,3.91,37.5,1.5,69.9,82.55,20.9,45.95,38.397,3.4398,8.8928,227.21,0.0,30.15,Fixed,Fixed,Fixed_Fixed,1.38,12.275
50,40,300,60.3,4079.0,404.0,3.91,37.5,1.5,69.9,82.55,20.9,45.95,2.196,17.596,0.23984,1836.1,6.0565,26.535,Fixed,Fixed,Fixed_Fixed,24.135,5.788
50,40,300,60.3,3995.0,3823.0,3.91,37.5,1.5,69.9,82.55,20.9,45.95,41.136,3.0918,10.788,99.607,16.97,21.279,Fixed,Fixed,Fixed_Fixed,1.288,13.899
50,40,600,60.3,3084.0,2610.0,3.91,56.25,6.4,73.2,82.55,25.4,45.95,33.945,4.5092,4.0566,195.8,6.4915,28.441,Fixed,Fixed,Fixed_Fixed,1.561,6.334
50,40,600,60.3,3423.0,675.0,3.91,56.25,6.4,73.2,82.55,25.4,45.95,3.9,15.2233,0.53087,1122.7,0.0,30.15,Fixed,Fixed,Fixed_Fixed,13.59,7.214
50,40,600,60.3,3339.0,2747.0,3.91,56.25,6.4,73.2,82.55,25.4,45.95,36.093,4.0662,4.9491,205.87,6.4915,28.441,Fixed,Fixed,Fixed_Fixed,1.468,7.267
50,40,600,60.3,2300.0,940.0,3.91,56.25,6.4,73.2,82.55,25.4,45.95,12.569,14.0516,0.504,481.27,0.0,-30.15,Fixed,Fixed,Fixed_Fixed,4.217,2.125
50,40,600,60.3,2714.0,4030.0,3.91,56.25,6.4,73.2,82.55,25.4,45.95,36.161,3.5778,6.4168,-472.4,0.0,30.15,Fixed,Fixed,Fixed_Fixed,1.466,9.405
50,STD,150,60.3,2656.0,1653.0,3.91,0.0,1.5,63.5,76.2,17.6,45.95,17.697,16.0847,1.6028,437.21,6.274,27.488,Fixed,Fixed,Fixed_Fixed,2.995,4.8
50,STD,150,60.3,474.0,3489.0,3.91,0.0,1.5,63.5,76.2,17.6,45.95,2.639,22.8157,0.25089,-1504.5,6.4915,28.441,Fixed,Fixed,Fixed_Fixed,20.083,5.039
50,STD,150,60.3,3628.0,2602.0,3.91,0.0,1.5,63.5,76.2,17.6,45.95,27.538,7.9826,5.1316,467.98,6.4915,28.441,Fixed,Fixed,Fixed_Fixed,1.925,9.876
50,STD,150,60.3,3216.0,405.0,3.91,0.0,1.5,63.5,76.2,17.6,45.95,2.247,27.4274,0.17088,1389.8,6.274,27.488,Fixed,Fixed,Fixed_Fixed,23.587,4.031
50,STD,150,60.3,3956.0,864.0,3.91,0.0,1.5,63.5,76.2,17.6,45.95,1.833,14.9928,0.88915,1525.6,0.0,30.15,Fixed,Fixed,Fixed_Fixed,28.914,25.709
50,STD,300,60.3,2459.0,4389.0,3.91,0.0,1.5,69.9,82.55,20.9,45.95,21.313,6.5991,6.1717,-844.38,0.0,30.15,Fixed,Fixed,Fixed_Fixed,2.487,15.347
50,STD,300,60.3,2085.0,4734.0,3.91,0.0,1.5,69.9,82.55,20.9,45.95,14.142,6.888,5.2347,-1238.9,0.0,30.15,Fixed,Fixed,Fixed_Fixed,3.748,19.618
50,STD,300,60.3,1672.0,2262.0,3.91,0.0,1.5,69.9,82.55,20.9,45.95,16.641,17.6017,1.2807,-265.28,6.0565,26.535,Fixed,Fixed,Fixed_Fixed,3.185,4.079
50,STD,300,60.3,2919.0,4782.0,3.91,0.0,1.5,69.9,82.55,20.9,45.95,26.157,5.2405,9.16,-858.51,6.274,27.488,Fixed,Fixed,Fixed_Fixed,2.026,18.56
50,STD,300,60.3,696.0,1815.0,3.91,0.0,1.5,69.9,82.55,20.9,45.95,5.451,45.1469,0.23689,-490.49,0.0,-30.15,Fixed,Fixed,Fixed_Fixed,9.723,2.303
50,STD,600,60.3,3267.0,4547.0,3.91,0.0,6.4,73.2,82.55,25.4,45.95,35.326,4.8906,10.163,-579.97,11.809,24.522,Fixed,Fixed,Fixed_Fixed,1.5,15.248
50,STD,600,60.3,4739.0,3260.0,3.91,0.0,6.4,73.2,82.55,25.4,45.95,36.207,4.7029,10.76,659.85,16.97,21.279,Fixed,Fixed,Fixed_Fixed,1.464,15.751
50,STD,600,60.3,4489.0,4324.0,3.91,0.0,6.4,73.2,82.55,25.4,45.95,45.109,3.8561,15.293,135.16,24.522,11.809,Fixed,Fixed,Fixed_Fixed,1.175,17.968
50,STD,600,60.3,4429.0,3074.0,3.91,0.0,6.4,73.2,82.55,25.4,45.95,34.453,5.2895,8.8944,621.1,0.0,30.15,Fixed,Fixed,Fixed_Fixed,1.538,13.683
50,STD,600,60.3,1920.0,2384.0,3.91,0.0,6.4,73.2,82.55,25.4,45.95,21.634,14.3019,1.7061,-228.88,6.274,27.488,Fixed,Fixed,Fixed_Fixed,2.45,4.18
50,STD,150,60.3,3605.0,4187.0,3.91,17.0,1.5,63.5,76.2,17.6,45.95,41.45,3.9156,10.605,-230.03,24.522,11.809,Fixed,Fixed,Fixed_Fixed,1.279,13.56
50,STD,150,60.3,2778.0,4175.0,3.91,17.0,1.5,63.5,76.2,17.6,45.95,32.808,4.9316,7.055,-529.51,6.4915,28.441,Fixed,Fixed,Fixed_Fixed,1.615,11.397
