File Name,Max Deformation X,X,Y,Z
1053,0.022238,2900.3,50.8,0.0
1054,0.035883,23.9,107.95,0.0
1055,0.0023602,4449.0,50.8,0.0
1056,0.055701,3848.7,-50.8,0.0
1057,0.01224,1463.2,-50.8,0.0
1058,0.016997,30.2,-114.3,0.0
1059,0.0019459,867.38,-50.8,0.0
106,0.38672,4270.0,30.15,0.0
1060,0.017639,30.2,-114.3,0.0
1061,0.0036121,1106.7,50.8,0.0
1062,0.015139,-41.5,114.3,0.0
1063,0.025789,2606.7,50.8,0.0
1064,0.0018242,-41.5,114.3,0.0
1065,0.0024659,41.5,114.3,0.0
1066,0.00059828,23.9,107.95,0.0
1067,0.024723,1678.6,50.8,0.0
1068,0.0067696,1382.9,-50.8,0.0
1069,0.039206,-23.9,107.95,0.0
107,0.10955,2057.0,30.15,0.0
1070,0.0028715,23.9,107.95,0.0
1071,0.0060486,30.2,114.3,0.0
1072,0.012173,8.675,114.3,0.0
1073,0.027003,30.2,-114.3,0.0
1074,0.020814,30.2,-114.3,0.0
1075,0.012479,-30.2,114.3,0.0
1076,0.024738,41.5,114.3,0.0
1077,0.020823,41.5,114.3,0.0
1078,0.02626,-41.5,114.3,0.0
1079,0.0085953,1125.3,50.8,0.0
108,0.14586,2046.0,30.15,0.0
1080,0.030735,3683.4,50.8,0.0
1081,0.0025836,23.9,107.95,0.0
1082,0.060421,3829.8,50.8,0.0
1083,0.022378,2963.9,50.8,0.0
1084,0.035609,23.9,107.95,0.0
1085,0.020276,23.9,107.95,0.0
1086,0.013141,-30.2,114.3,0.0
1087,0.022696,-30.2,114.3,0.0
1088,0.0023478,30.2,-114.3,0.0
1089,0.00096424,445.7,50.8,0.0
109,0.069576,-19.1,76.2,0.0
1090,0.033678,2135.0,50.8,0.0
1091,0.017821,32.725,114.3,0.0
1092,0.015771,41.5,114.3,0.0
1093,0.026319,41.5,114.3,0.0
1094,0.030688,2158.5,50.8,0.0
1095,0.011156,1235.6,50.8,0.0
1096,0.039826,2776.0,50.8,0.0
1097,0.0077494,1917.4,-50.8,0.0
1098,0.00011801,-23.9,107.95,0.0
1099,0.035529,2514.8,50.8,0.0
11,0.053605,1572.1,30.15,0.0
110,0.20305,2295.0,30.15,0.0
1100,0.037827,2001.5,50.8,0.0
1101,0.0060134,30.2,-114.3,0.0
1102,0.0094268,30.2,-114.3,0.0
1103,0.052575,3833.8,-50.8,0.0
1104,0.028637,2309.2,50.8,0.0
1105,0.020025,30.2,-114.3,0.0
1106,0.00035108,41.5,114.3,0.0
1107,0.011722,-41.5,114.3,0.0
1108,0.03072,41.5,114.3,0.0
1109,0.032144,-41.5,114.3,0.0
111,0.26852,3415.0,30.15,0.0
1110,0.035765,3022.5,50.8,0.0
1111,0.042447,2334.1,50.8,0.0
1112,0.0045151,-23.9,107.95,0.0
1113,0.028466,2868.5,50.8,0.0
1114,0.060804,4421.0,50.8,0.0
1115,0.018087,23.9,107.95,0.0
1116,0.037272,8.675,114.3,0.0
1117,0.037367,2187.6,-50.8,0.0
1118,0.00036382,389.0,50.8,0.0
1119,0.0071333,30.2,114.3,0.0
112,0.017924,1184.6,30.15,0.0
1120,0.017539,1979.0,-50.8,0.0
1121,0.0054823,-41.5,114.3,0.0
1122,0.053164,-41.5,114.3,0.0
1123,0.045693,-41.5,114.3,0.0
1124,0.048654,-41.5,114.3,0.0
1125,0.04409,-41.5,114.3,0.0
