Pipe DN,Pipe Schedule,Flange Class,Outside Diamter (mm),Length1,Length2,Wall Thickness (mm),Lumped Mass,Raised Face Depth,W Neck C (mm),Flange Outer Radius,Flange Thickness D (mm),Raised Face Radius,new_col
50,STD,600,60.3,2111.0,1879.0,3.91,33.75,6.4,73.2,82.55,25.4,45.95,102
50,STD,600,60.3,1965.0,615.0,3.91,33.75,6.4,73.2,82.55,25.4,45.95,103
50,STD,600,60.3,2312.0,419.0,3.91,33.75,6.4,73.2,82.55,25.4,45.95,104
50,STD,600,60.3,2157.0,3875.0,3.91,33.75,6.4,73.2,82.55,25.4,45.95,105
50,STD,150,60.3,4270.0,4872.0,3.91,21.25,1.5,63.5,76.2,17.6,45.95,106
50,STD,150,60.3,2057.0,2780.0,3.91,21.25,1.5,63.5,76.2,17.6,45.95,107
50,STD,150,60.3,2046.0,3459.0,3.91,21.25,1.5,63.5,76.2,17.6,45.95,108
50,STD,150,60.3,2255.0,1608.0,3.91,21.25,1.5,63.5,76.2,17.6,45.95,109
50,STD,150,60.3,2295.0,4184.0,3.91,21.25,1.5,63.5,76.2,17.6,45.95,110
50,STD,300,60.3,3415.0,4196.0,3.91,37.5,1.5,69.9,82.55,20.9,45.95,111
50,STD,300,60.3,1192.0,1080.0,3.91,37.5,1.5,69.9,82.55,20.9,45.95,112
50,STD,300,60.3,3696.0,4200.0,3.91,37.5,1.5,69.9,82.55,20.9,45.95,113
50,STD,300,60.3,1492.0,3454.0,3.91,37.5,1.5,69.9,82.55,20.9,45.95,114
50,STD,300,60.3,4825.0,933.0,3.91,37.5,1.5,69.9,82.55,20.9,45.95,115
50,STD,600,60.3,924.0,395.0,3.91,56.25,6.4,73.2,82.55,25.4,45.95,116
50,STD,600,60.3,4092.0,1857.0,3.91,56.25,6.4,73.2,82.55,25.4,45.95,117
50,STD,600,60.3,1968.0,3650.0,3.91,56.25,6.4,73.2,82.55,25.4,45.95,118
50,STD,600,60.3,698.0,1848.0,3.91,56.25,6.4,73.2,82.55,25.4,45.95,119
50,STD,600,60.3,3736.0,4202.0,3.91,56.25,6.4,73.2,82.55,25.4,45.95,120
50,80,150,60.3,4984.0,4533.0,5.54,0.0001,1.5,63.5,76.2,17.6,45.95,121
