File Name,Max Deformation Z,X,Y,Z
126,0.0006409,-4104.8,-18.798,23.572
1260,0.023738,44.5,136.55,0.0
1261,0.00050046,1524.6,44.682,35.632
1262,0.0044912,23.9,-114.3,0.0
1263,0.0001632,-23.9,-114.3,0.0
1264,0.00022063,-981.89,44.682,35.632
1265,0.0036981,1220.8,-44.682,-35.632
1266,2.5659e-05,-424.84,-44.682,35.632
1267,8.4872e-05,-1530.5,35.632,44.682
1268,2.1628e-05,516.62,35.632,-44.682
1269,5.7921e-05,-1368.4,35.632,44.682
127,0.0005587,-3604.3,-18.798,23.572
1270,8.031e-05,-1533.6,-40.411,40.411
1271,0.00052328,-1150.7,48.39,30.406
1272,0.02241,-672.79,-51.49,-24.796
1273,0.0055395,44.5,-136.55,0.0
1274,0.054282,-238.39,-51.49,-24.796
1275,0.01644,101.6,-56.052,11.149
1276,0.015179,-835.8,55.717,12.717
1277,0.00099411,-23.9,-114.3,0.0
1278,0.041649,-147.7,55.717,12.717
1279,0.0043188,-1352.7,51.49,24.796
128,2.7966e-05,-289.82,23.572,18.798
1280,0.0051447,-646.19,55.717,12.717
1281,6.0798e-05,942.0,35.632,-44.682
1282,6.3831e-05,999.92,35.632,-44.682
1283,6.785e-05,-1195.1,35.632,44.682
1284,7.2596e-06,290.71,35.632,44.682
1285,0.00013938,-2252.2,35.632,44.682
1286,0.062319,301.48,55.717,12.717
1287,0.0045442,-1247.4,57.15,0.0
1288,0.018065,-482.36,57.15,0.0
1289,0.008036,-356.14,57.15,0.0
129,0.00026072,-1754.1,23.572,18.798
1290,0.063026,236.68,56.791,6.3988
1291,0.0021383,1229.3,51.49,24.796
1292,0.00086831,-23.9,-114.3,0.0
1293,0.031603,76.2,57.15,0.0
1294,0.0025352,-23.9,-114.3,0.0
1295,0.0085466,-1074.3,55.717,12.717
1296,0.00014286,-3395.5,40.411,40.411
1297,6.244e-05,-1230.1,-44.682,35.632
1298,5.7516e-05,-1283.0,35.632,44.682
1299,8.9413e-05,1409.8,-35.632,-44.682
13,0.00051278,-2324.3,21.319,21.319
130,0.00026049,-1767.8,18.798,23.572
1300,0.00010655,-1575.0,35.632,44.682
1301,0.0064569,-949.15,57.15,0.0
1302,0.031533,-44.5,136.55,0.0
1303,0.019665,101.6,57.15,0.0
1304,0.044348,391.52,55.717,12.717
1305,0.0037741,807.16,57.15,0.0
1306,0.0056165,1174.1,53.943,18.875
1307,0.0010181,-372.73,57.15,0.0
1308,0.0010309,-23.9,-114.3,0.0
1309,0.017226,660.33,55.717,12.717
131,0.00029249,-1688.7,-23.572,18.798
1310,0.013927,-908.2,55.717,12.717
1311,0.0001798,3971.4,40.411,-40.411
1312,7.301e-05,-998.72,35.632,44.682
1313,0.00015494,2694.6,44.682,-35.632
1314,9.5216e-05,-1829.4,35.632,44.682
1315,8.9025e-05,1432.8,-40.411,40.411
1316,0.019974,44.5,136.55,0.0
1317,0.0028435,972.9,57.15,0.0
1318,0.024771,791.57,57.15,0.0
1319,0.0015782,-44.5,-136.55,0.0
132,0.00027374,-1553.4,-23.572,18.798
