File Name,Frequency
1262,80.8898
1263,17.2397
1264,38.4128
1265,9.9642
1266,89.5457
1267,14.6916
1268,26.8156
1269,40.4304
127,3.247
1270,21.3799
1271,32.592
1272,8.1008
1273,91.7911
1274,4.5574
1275,14.3014
1276,6.6946
1277,32.5118
1278,4.1635
1279,7.6724
128,21.6624
1280,13.2754
1281,21.0735
1282,20.1244
1283,21.8242
1284,15.5199
1285,7.4297
1286,3.5938
1287,7.1518
1288,7.23
1289,11.3888
129,11.7768
1290,3.5746
1291,11.2261
1292,26.6863
1293,5.5263
1294,36.7428
1295,7.7252
1296,6.3009
1297,25.385
1298,27.0429
1299,12.5224
13,5.3604
130,11.7677
1300,10.3235
1301,8.9191
1302,6.5662
1303,9.0406
1304,4.8116
1305,28.8418
1306,8.373
1307,52.8861
1308,15.2974
1309,7.0246
131,7.8324
1310,6.451
1311,3.9007
1312,15.1372
1313,5.1595
1314,12.285
1315,11.5451
1316,7.8275
1317,14.8985
1318,5.4719
1319,13.9353
132,7.9119
1320,10.5796
1321,12.2567
1322,29.7796
1323,17.0224
1324,28.2307
1325,12.4496
1326,37.2614
1327,6.8791
1328,13.5696
1329,15.2169
133,10.1237
1330,8.1314
1331,8.4729
1332,9.6632
1333,48.2847
1334,10.0499
1335,14.1543
1336,15.4216
1337,6.4437
1338,6.0423
1339,13.2266
134,14.1748
1340,13.0865
1341,21.8926
1342,95.0491
1343,16.5196
1344,8.3004
1345,7.6404
1346,23.9381
1347,23.914
1348,8.3531
1349,7.052
135,2.7173
1350,9.6618
1351,8.0262
1352,17.4543
1353,61.5177
1354,9.1912
1355,21.6735
1356,5.57
1357,4.3706
1358,23.6078
1359,34.8185
136,2.9223
1360,14.8963
1361,60.3988
1362,16.2137
1363,13.8892
1364,17.9967
1365,8.2907
1366,8.6934
1367,17.8445
1368,35.2653
1369,15.7388
137,11.9892
1370,21.3249
1371,11.9101
1372,9.9525
1373,7.1886
1374,11.3753
1375,5.0811
1376,61.6844
1377,15.9156
1378,7.8762
1379,8.38
138,5.192
1380,5.0259
1381,7.4612
1382,10.7096
1383,6.081
1384,8.017
1385,8.0169
1386,10.684
1387,44.8744
1388,7.5949
1389,11.5414
139,10.0399
1390,15.0395
1391,26.185
1392,8.4897
1393,16.6254
1394,17.0504
1395,46.2224
1396,13.3117
1397,7.2484
1398,51.7989
1399,12.8083
14,2.5154
140,16.4718
1400,9.398
1401,20.3212
1402,21.7214
1403,20.9136
1404,5.3857
1405,9.071
1406,3.3784
1407,9.4639
1408,5.8569
1409,14.9236
141,11.0686
1410,3.8055
1411,30.0425
1412,15.4341
1413,11.7813
1414,6.2743
1415,7.9306
1416,12.1983
1417,6.5247
1418,7.6506
1419,12.2761
142,7.0509
1420,8.3836
1421,4.0135
1422,9.1702
1423,28.5928
1424,9.2389
1425,4.5041
1426,14.3212
1427,112.3605
1428,40.6496
1429,10.2454
143,8.3174
1430,11.7779
1431,4.1085
1432,11.1446
1433,5.9625
1434,42.9166
1435,7.3609
1436,13.2163
1437,91.0209
1438,5.9679
1439,45.4776
144,2.4852
1440,6.0542
1441,14.4099
1442,24.2599
1443,8.6581
1444,20.4555
1445,6.413
1446,25.2417
1447,7.5904
1448,12.8249
1449,7.6221
145,3.3947
1450,12.1397
1451,36.5132
1452,6.2663
1453,32.1247
1454,14.9943
1455,14.0887
1456,19.0842
1457,30.313
1458,6.565
1459,34.1742
146,16.9534
1460,10.3917
1461,6.8038
1462,68.5972
1463,25.2255
1464,37.3249
1465,53.6333
1466,6.0828
1467,5.1626
1468,35.5416
1469,22.162
147,11.3334
1470,16.8675
1471,6.7073
1472,51.6984
1473,14.4846
1474,9.5654
1475,21.3404
1476,31.5889
1477,47.9648
1478,16.831
1479,10.0512
148,3.3876
1480,17.4931
1481,19.4063
1482,14.145
1483,4.5291
1484,15.4824
1485,8.7368
1486,15.2461
1487,74.2391
