pipe_dn,pipe_schedule,flange_class,length1,length2,wall_thickness,lumped_mass,raised_face_depth,w_neck_c,flange_outer_radius,flange_thickness_d,raised_face_radius,frequency,x_deformation_position,y_deformation_position,z_deformation_position,support,allowable_deformation
50,STD,600,4489,4324,3.91,0,6.4,73.2,82.55,25.4,45.95,3.8561,135.16,24.522,11.809,Fixed_Fixed,17.968
50,STD,600,4429,3074,3.91,0,6.4,73.2,82.55,25.4,45.95,5.2895,621.1,0,30.15,Fixed_Fixed,13.683
50,STD,600,1920,2384,3.91,0,6.4,73.2,82.55,25.4,45.95,14.3019,-228.88,6.274,27.488,Fixed_Fixed,4.18
50,STD,150,3605,4187,3.91,17,1.5,63.5,76.2,17.6,45.95,3.9156,-230.03,24.522,11.809,Fixed_Fixed,13.56
50,STD,150,2778,4175,3.91,17,1.5,63.5,76.2,17.6,45.95,4.9316,-529.51,6.4915,28.441,Fixed_Fixed,11.397
50,STD,150,3399,4008,3.91,17,1.5,63.5,76.2,17.6,45.95,4.2776,-274.81,0,30.15,Fixed_Fixed,12.227
50,STD,150,1561,3622,3.91,17,1.5,63.5,76.2,17.6,45.95,9.2644,-834.88,12.657,26.284,Fixed_Fixed,7.587
50,STD,150,3157,2262,3.91,17,1.5,63.5,76.2,17.6,45.95,7.4465,337.75,0,30.15,Fixed_Fixed,6.394
50,STD,300,526,1836,3.91,30,1.5,69.9,82.55,20.9,45.95,35.5462,-495.2,0,30.15,Fixed_Fixed,1.61
50,STD,300,3569,4851,3.91,30,1.5,69.9,82.55,20.9,45.95,2.9899,-491.81,24.522,11.809,Fixed_Fixed,17.065
50,STD,300,1707,3691,3.91,30,1.5,69.9,82.55,20.9,45.95,7.1885,-731.48,6.4915,28.441,Fixed_Fixed,7.783
50,STD,300,1078,2851,3.91,30,1.5,69.9,82.55,20.9,45.95,13.3347,-673.43,0,30.15,Fixed_Fixed,4.269
50,STD,300,1862,786,3.91,30,1.5,69.9,82.55,20.9,45.95,23.9387,377.42,0,30.15,Fixed_Fixed,1.645
50,STD,600,1078,3081,3.91,45,6.4,73.2,82.55,25.4,45.95,11.0916,-725.68,0,30.15,Fixed_Fixed,4.214
50,STD,600,4599,3187,3.91,45,6.4,73.2,82.55,25.4,45.95,3.0302,529.3,16.97,21.279,Fixed_Fixed,12.378
50,STD,600,1635,4763,3.91,45,6.4,73.2,82.55,25.4,45.95,5.5066,-1197.6,6.0565,26.535,Fixed_Fixed,11.29
50,STD,600,806,2626,3.91,45,6.4,73.2,82.55,25.4,45.95,16.3512,-658.92,0,30.15,Fixed_Fixed,2.956
50,STD,600,850,2913,3.91,45,6.4,73.2,82.55,25.4,45.95,14.5323,-786.08,0,-30.15,Fixed_Fixed,3.784
50,STD,150,3851,4412,3.91,12.75,1.5,63.5,76.2,17.6,45.95,3.7375,-238.91,24.522,11.809,Fixed_Fixed,15.571
50,STD,150,4243,434,3.91,12.75,1.5,63.5,76.2,17.6,45.95,16.4262,1904.7,6.274,27.488,Fixed_Fixed,6.039
50,STD,150,467,4011,3.91,12.75,1.5,63.5,76.2,17.6,45.95,17.7504,-1763.2,0,30.15,Fixed_Fixed,5.791
50,STD,150,871,1521,3.91,12.75,1.5,63.5,76.2,17.6,45.95,33.0877,-240.46,0,30.15,Fixed_Fixed,1.282
50,STD,150,4488,1055,3.91,12.75,1.5,63.5,76.2,17.6,45.95,10.5006,1587,16.97,21.279,Fixed_Fixed,45.894
50,STD,300,2721,416,3.91,22.5,1.5,69.9,82.55,20.9,45.95,32.6223,1066.5,0,30.15,Fixed_Fixed,5.371
50,STD,300,4645,4448,3.91,22.5,1.5,69.9,82.55,20.9,45.95,2.7514,133.96,11.809,24.522,Fixed_Fixed,19.564
50,STD,300,3032,2812,3.91,22.5,1.5,69.9,82.55,20.9,45.95,5.8026,112.73,0,30.15,Fixed_Fixed,7.774
50,STD,300,3934,3732,3.91,22.5,1.5,69.9,82.55,20.9,45.95,3.6779,124.6,0,30.15,Fixed_Fixed,13.69
50,STD,300,2287,2123,3.91,22.5,1.5,69.9,82.55,20.9,45.95,9.2433,102.93,0,30.15,Fixed_Fixed,4.337
50,STD,600,4180,2058,3.91,33.75,6.4,73.2,82.55,25.4,45.95,5.278,760.92,6.0565,26.535,Fixed_Fixed,8.543
50,STD,600,2111,1879,3.91,33.75,6.4,73.2,82.55,25.4,45.95,9.4954,117.25,6.709,29.394,Fixed_Fixed,3.1
50,STD,600,1965,615,3.91,33.75,6.4,73.2,82.55,25.4,45.95,27.9617,497.78,0,30.15,Fixed_Fixed,1.54
50,STD,600,2312,419,3.91,33.75,6.4,73.2,82.55,25.4,45.95,35.8209,798.79,0,30.15,Fixed_Fixed,3.929
50,STD,600,2157,3875,3.91,33.75,6.4,73.2,82.55,25.4,45.95,5.3415,-619.67,6.709,29.394,Fixed_Fixed,8.176
50,STD,150,4270,4872,3.91,21.25,1.5,63.5,76.2,17.6,45.95,2.8253,-257.06,11.809,24.522,Fixed_Fixed,18.626
50,STD,150,2057,2780,3.91,21.25,1.5,63.5,76.2,17.6,45.95,8.4486,-270.85,6.0565,26.535,Fixed_Fixed,5.12
50,STD,150,2046,3459,3.91,21.25,1.5,63.5,76.2,17.6,45.95,7.1528,-511.55,6.709,29.394,Fixed_Fixed,7.168
50,STD,150,2255,1608,3.91,21.25,1.5,63.5,76.2,17.6,45.95,12.3334,231.48,6.709,29.394,Fixed_Fixed,3.114
50,STD,150,2295,4184,3.91,21.25,1.5,63.5,76.2,17.6,45.95,5.5428,-704.5,6.274,27.488,Fixed_Fixed,10.452
50,STD,300,3415,4196,3.91,37.5,1.5,69.9,82.55,20.9,45.95,3.2701,-279.92,0,30.15,Fixed_Fixed,13.41
50,STD,300,1192,1080,3.91,37.5,1.5,69.9,82.55,20.9,45.95,22.636,81.167,0,30.15,Fixed_Fixed,1.102
50,STD,300,3696,4200,3.91,37.5,1.5,69.9,82.55,20.9,45.95,3.0544,-182.39,21.279,16.97,Fixed_Fixed,14.337
50,STD,300,1492,3454,3.91,37.5,1.5,69.9,82.55,20.9,45.95,8.0148,-726.8,6.0565,26.535,Fixed_Fixed,6.431
50,STD,300,4825,933,3.91,37.5,1.5,69.9,82.55,20.9,45.95,9.2175,1756.5,11.809,24.522,Fixed_Fixed,52.759
50,STD,600,924,395,3.91,56.25,6.4,73.2,82.55,25.4,45.95,54.042,198.09,0,30.15,Fixed_Fixed,0.339
50,STD,600,4092,1857,3.91,56.25,6.4,73.2,82.55,25.4,45.95,5.0432,807.09,6.709,29.394,Fixed_Fixed,7.489
50,STD,600,1968,3650,3.91,56.25,6.4,73.2,82.55,25.4,45.95,5.1467,-587.52,6.0565,26.535,Fixed_Fixed,6.834
50,STD,600,698,1848,3.91,56.25,6.4,73.2,82.55,25.4,45.95,21.4051,-408.56,6.709,29.394,Fixed_Fixed,1.384
50,STD,600,3736,4202,3.91,56.25,6.4,73.2,82.55,25.4,45.95,2.63,-185.66,11.809,24.522,Fixed_Fixed,12.661
50,80,150,4984,4533,5.54,0,1.5,63.5,76.2,17.6,45.95,3.5578,263.05,5.7844,25.343,Fixed_Fixed,29.366
50,80,150,345,4581,5.54,0,1.5,63.5,76.2,17.6,45.95,14.6414,-2144.5,11.279,23.421,Fixed_Fixed,6.653
50,80,150,1417,4331,5.54,0,1.5,63.5,76.2,17.6,45.95,10.105,-1412.5,6.4008,28.044,Fixed_Fixed,36.696
50,80,150,2471,1634,5.54,0,1.5,63.5,76.2,17.6,45.95,17.8597,399.31,6.4008,28.044,Fixed_Fixed,5.536
50,80,150,3897,2502,5.54,0,1.5,63.5,76.2,17.6,45.95,7.7287,661.46,0,30.15,Fixed_Fixed,14.504
50,80,300,4871,4133,5.54,0,1.5,69.9,82.55,20.9,45.95,3.8567,390.94,25.343,5.7844,Fixed_Fixed,27.449
50,80,300,4605,3629,5.54,0,1.5,69.9,82.55,20.9,45.95,4.5834,471.78,6.4008,28.044,Fixed_Fixed,23.162
50,80,300,3061,312,5.54,0,1.5,69.9,82.55,20.9,45.95,31.1571,1389.1,0,30.15,Fixed_Fixed,3.674
50,80,300,2389,1792,5.54,0,1.5,69.9,82.55,20.9,45.95,16.3191,277.88,5.7844,25.343,Fixed_Fixed,5.611
50,80,300,2373,1806,5.54,0,1.5,69.9,82.55,20.9,45.95,16.3144,276.48,6.709,29.394,Fixed_Fixed,5.584
50,80,600,3562,1730,5.54,0,6.4,73.2,82.55,25.4,45.95,10.8455,825.15,6.0926,26.694,Fixed_Fixed,10.982
50,80,600,3715,1594,5.54,0,6.4,73.2,82.55,25.4,45.95,10.9929,987.8,5.7844,25.343,Fixed_Fixed,12.89
50,80,600,3753,1042,5.54,0,6.4,73.2,82.55,25.4,45.95,14.2682,1316.8,0,30.15,Fixed_Fixed,33.605
50,80,600,2106,1617,5.54,0,6.4,73.2,82.55,25.4,45.95,19.4874,230.78,0,30.15,Fixed_Fixed,3.956
50,80,600,4743,4184,5.54,0,6.4,73.2,82.55,25.4,45.95,3.8402,262.86,11.279,23.421,Fixed_Fixed,24.374
50,80,150,4030,3857,5.54,17,1.5,63.5,76.2,17.6,45.95,4.0441,95.099,6.709,29.394,Fixed_Fixed,17.863
50,80,150,1512,1941,5.54,17,1.5,63.5,76.2,17.6,45.95,16.9996,-186.04,0,30.15,Fixed_Fixed,3.354
50,80,150,3291,2528,5.54,17,1.5,63.5,76.2,17.6,45.95,6.9878,310.69,0,30.15,Fixed_Fixed,9.624
50,80,150,4272,614,5.54,17,1.5,63.5,76.2,17.6,45.95,14.3039,1820.3,0,30.15,Fixed_Fixed,12.085
50,80,150,337,3289,5.54,17,1.5,63.5,76.2,17.6,45.95,26.5976,-1485.8,0,30.15,Fixed_Fixed,4.103
50,80,300,662,3190,5.54,30,1.5,69.9,82.55,20.9,45.95,19.7484,-1146.1,6.4008,28.044,Fixed_Fixed,19.242
50,80,300,4950,822,5.54,30,1.5,69.9,82.55,20.9,45.95,9.8813,2005,6.709,29.394,Fixed_Fixed,26.925
50,80,300,4018,1047,5.54,30,1.5,69.9,82.55,20.9,45.95,10.9938,1275.3,16.208,20.324,Fixed_Fixed,17.819
50,80,300,3763,4200,5.54,30,1.5,69.9,82.55,20.9,45.95,3.4665,-183.98,6.4008,28.044,Fixed_Fixed,18.707
50,80,300,4372,2726,5.54,30,1.5,69.9,82.55,20.9,45.95,4.4475,638.08,6.0926,26.694,Fixed_Fixed,15.39
50,80,600,1385,1033,5.54,45,6.4,73.2,82.55,25.4,45.95,21.8256,152.07,0,30.15,Fixed_Fixed,1.447
50,80,600,796,2394,5.54,45,6.4,73.2,82.55,25.4,45.95,19.266,-607.22,0,30.15,Fixed_Fixed,3.222
50,80,600,3792,2725,5.54,45,6.4,73.2,82.55,25.4,45.95,4.414,403.65,0,30.15,Fixed_Fixed,11.151
50,80,600,2533,4130,5.54,45,6.4,73.2,82.55,25.4,45.95,4.4134,-561.03,6.709,29.394,Fixed_Fixed,12.556
50,80,600,3870,1963,5.54,45,6.4,73.2,82.55,25.4,45.95,5.8498,710.62,6.0926,26.694,Fixed_Fixed,9.49
50,80,150,2584,921,5.54,12.75,1.5,63.5,76.2,17.6,45.95,21.8885,697.78,0,30.15,Fixed_Fixed,5.167
50,80,150,1597,1206,5.54,12.75,1.5,63.5,76.2,17.6,45.95,26.0395,152.83,0,30.15,Fixed_Fixed,2.143
50,80,150,2094,991,5.54,12.75,1.5,63.5,76.2,17.6,45.95,24.8022,430.64,0,30.15,Fixed_Fixed,2.996
50,80,150,3478,535,5.54,12.75,1.5,63.5,76.2,17.6,45.95,21.0473,1453.9,0,30.15,Fixed_Fixed,8.666
50,80,150,3761,1693,5.54,12.75,1.5,63.5,76.2,17.6,45.95,9.2293,866.17,11.279,23.421,Fixed_Fixed,11.146
50,80,300,4862,2343,5.54,22.5,1.5,69.9,82.55,20.9,45.95,4.9396,1000.1,6.0926,26.694,Fixed_Fixed,18.589
50,80,300,3502,3505,5.54,22.5,1.5,69.9,82.55,20.9,45.95,4.6029,1.5,0,58.15,Fixed_Fixed,14.412
50,80,300,2605,1568,5.54,22.5,1.5,69.9,82.55,20.9,45.95,11.8538,406.69,6.0926,26.694,Fixed_Fixed,5.145
