Pipe DN,Pipe Schedule,Flange Class,Outside Diamter (mm),Length1,Length2,Wall Thickness (mm),Lumped Mass,Raised Face Depth,W Neck C (mm),Flange Outer Radius,Flange Thickness D (mm),Raised Face Radius,new_col
50,80,150,60.3,2686,1367,5.54,17,1.5,63.5,76.2,17.6,45.95,140
50,80,300,60.3,1332,2515,5.54,30,1.5,69.9,82.55,20.9,45.95,141
50,80,300,60.3,2983,462,5.54,30,1.5,69.9,82.55,20.9,45.95,142
50,80,300,60.3,2050,2387,5.54,30,1.5,69.9,82.55,20.9,45.95,143
50,80,300,60.3,2302,1490,5.54,30,1.5,69.9,82.55,20.9,45.95,144
50,80,300,60.3,2340,1043,5.54,30,1.5,69.9,82.55,20.9,45.95,145
50,80,600,60.3,2845,710,5.54,45,6.4,73.2,82.55,25.4,45.95,146
50,80,600,60.3,2175,1706,5.54,45,6.4,73.2,82.55,25.4,45.95,147
50,80,600,60.3,1453,2736,5.54,45,6.4,73.2,82.55,25.4,45.95,148
50,80,600,60.3,1722,1360,5.54,45,6.4,73.2,82.55,25.4,45.95,149
50,80,600,60.3,1382,1814,5.54,45,6.4,73.2,82.55,25.4,45.95,150
50,80,150,60.3,1082,2740,5.54,12.75,1.5,63.5,76.2,17.6,45.95,151
50,80,150,60.3,2639,1134,5.54,12.75,1.5,63.5,76.2,17.6,45.95,152
50,80,150,60.3,1457,1970,5.54,12.75,1.5,63.5,76.2,17.6,45.95,153
50,80,150,60.3,946,948,5.54,12.75,1.5,63.5,76.2,17.6,45.95,154
50,80,150,60.3,2681,404,5.54,12.75,1.5,63.5,76.2,17.6,45.95,155
50,80,300,60.3,1837,1882,5.54,22.5,1.5,69.9,82.55,20.9,45.95,156
50,80,300,60.3,1592,2594,5.54,22.5,1.5,69.9,82.55,20.9,45.95,157
50,80,300,60.3,1533,2676,5.54,22.5,1.5,69.9,82.55,20.9,45.95,158
50,80,300,60.3,1486,2259,5.54,22.5,1.5,69.9,82.55,20.9,45.95,159
50,80,300,60.3,1709,2883,5.54,22.5,1.5,69.9,82.55,20.9,45.95,160
50,80,600,60.3,421,2627,5.54,33.75,6.4,73.2,82.55,25.4,45.95,161
50,80,600,60.3,1068,640,5.54,33.75,6.4,73.2,82.55,25.4,45.95,162
50,80,600,60.3,1605,2668,5.54,33.75,6.4,73.2,82.55,25.4,45.95,163
50,80,600,60.3,957,805,5.54,33.75,6.4,73.2,82.55,25.4,45.95,164
50,80,600,60.3,779,2190,5.54,33.75,6.4,73.2,82.55,25.4,45.95,165
