File Name,Max Deformation X,X,Y,Z
105,0.30501,25.45,82.55,0.0
1050,0.032349,-41.5,114.3,0.0
1051,0.091131,2999.0,50.8,0.0
1052,0.087361,3300.1,50.8,0.0
1053,0.044407,-2504.2,50.8,0.0
1054,0.07219,23.9,107.95,0.0
1055,0.24042,-4293.0,50.8,0.0
1056,0.10405,3848.7,-50.8,0.0
1057,0.021929,1463.2,-50.8,0.0
1058,0.038677,30.2,-114.3,0.0
1059,0.0050738,867.38,-50.8,0.0
106,0.71448,4270.0,30.15,0.0
1060,0.035004,-2054.4,-50.8,0.0
1061,0.0080983,1106.7,50.8,0.0
1062,0.04377,-41.5,114.3,0.0
1063,0.047602,2606.7,50.8,0.0
1064,0.006253,-41.5,114.3,0.0
1065,0.010518,-41.5,114.3,0.0
1066,0.0041849,23.9,107.95,0.0
1067,0.04337,23.9,107.95,0.0
1068,0.012962,1382.9,50.8,0.0
1069,0.076206,-2872.3,50.8,0.0
107,0.19536,2057.0,30.15,0.0
1070,0.01265,-23.9,107.95,0.0
1071,0.027135,-30.2,114.3,0.0
1072,0.024692,8.675,114.3,0.0
1073,0.046339,30.2,-114.3,0.0
1074,0.036601,-1877.9,-50.8,0.0
1075,0.028282,-30.2,114.3,0.0
1076,0.052764,41.5,114.3,0.0
1077,0.040857,41.5,114.3,0.0
1078,0.05554,-2611.4,50.8,0.0
1079,0.016255,41.5,114.3,0.0
108,0.24767,2046.0,30.15,0.0
1080,0.066268,-2924.0,50.8,0.0
1081,0.0234,-23.9,107.95,0.0
1082,0.10787,3856.0,50.8,0.0
1083,0.044101,-2433.5,50.8,0.0
1084,0.068444,23.9,107.95,0.0
1085,0.033001,23.9,107.95,0.0
1086,0.031256,-30.2,114.3,0.0
1087,0.038711,-30.2,114.3,0.0
1088,0.0044666,-824.71,-50.481,5.6878
1089,0.0016401,445.7,50.8,0.0
109,0.12301,-1608.0,30.15,0.0
1090,0.055116,2135.0,-50.8,0.0
1091,0.027528,41.5,114.3,0.0
1092,0.023741,41.5,114.3,0.0
1093,0.050963,41.5,114.3,0.0
1094,0.050735,2158.5,50.8,0.0
1095,0.019229,41.5,114.3,0.0
1096,0.069323,2776.0,50.8,0.0
1097,0.016694,-1439.9,50.8,0.0
1098,0.00099032,-340.98,50.8,0.0
1099,0.061005,2514.8,50.8,0.0
11,0.09662,1572.1,30.15,0.0
110,0.33936,19.1,76.2,0.0
1100,0.070836,23.9,107.95,0.0
1101,0.027312,30.2,-114.3,0.0
1102,0.026052,30.2,-114.3,0.0
1103,0.099515,3833.8,-50.8,0.0
1104,0.049853,2309.2,50.8,0.0
1105,0.042852,-2350.0,-50.8,0.0
1106,0.004154,41.5,114.3,0.0
1107,0.020544,-41.5,114.3,0.0
1108,0.048454,41.5,114.3,0.0
1109,0.05904,-2472.3,50.8,0.0
111,0.49125,3415.0,30.15,0.0
1110,0.065901,3022.5,50.8,0.0
1111,0.069432,23.9,107.95,0.0
1112,0.0082246,-895.05,50.8,0.0
1113,0.053043,2868.5,50.8,0.0
1114,0.1157,-4293.0,50.8,0.0
1115,0.029572,23.9,107.95,0.0
1116,0.063213,8.675,114.3,0.0
1117,0.061806,2187.6,-50.8,0.0
1118,0.0024149,389.0,50.8,0.0
1119,0.011979,8.675,114.3,0.0
112,0.04052,-1073.0,30.15,0.0
1120,0.03224,1979.0,-50.8,0.0
1121,0.0097889,-41.5,114.3,0.0
1122,0.091901,-2956.5,50.8,0.0
1123,0.075701,-2522.6,50.8,0.0
1124,0.086865,-2965.4,50.8,0.0
1125,0.087689,-3212.9,50.8,0.0
1126,0.12306,-4162.0,50.8,0.0
1127,0.14677,-4807.0,50.8,0.0
1128,0.064069,-2487.0,50.8,0.0
1129,0.029752,-23.9,107.95,0.0
113,0.52852,3696.0,30.15,0.0
1130,0.074,-3050.0,50.8,0.0
1131,0.090464,3133.4,-50.8,0.0
1132,0.09827,-3470.0,-50.8,0.0
1133,0.10254,3463.0,50.8,0.0
1134,0.050862,2052.1,-50.8,0.0
1135,0.076377,2443.2,-50.8,0.0
1136,0.036592,41.5,114.3,0.0
