File Name,Max Deformation Y,X,Y,Z
1238,19.539,-4173.0,57.15,0.0
1239,3.7725,-4805.0,57.15,0.0
124,35.851,-1634.0,30.15,0.0
1240,3.6409,-1538.0,57.15,0.0
1241,0.98178,-2484.0,0.0,-57.15
1242,18.95,-482.0,57.15,0.0
1243,21.279,-1225.0,57.15,0.0
1244,27.87,-4995.0,57.15,0.0
1245,0.82374,-3617.0,0.0,-57.15
1246,2.9923,-4804.0,57.15,0.0
1247,8.6623,-842.0,57.15,0.0
1248,0.39038,-1171.0,0.0,-57.15
1249,0.19711,-2062.0,0.0,-57.15
125,138.54,-2502.0,30.15,0.0
1250,8.3718,-710.0,57.15,0.0
1251,17.289,-495.0,57.15,0.0
1252,12.703,-2527.0,57.15,0.0
1253,14.11,-660.0,57.15,0.0
1254,23.622,-3952.0,57.15,0.0
1255,6.5403,-4186.0,57.15,0.0
1256,14.039,-421.0,57.15,0.0
1257,0.08774,-3264.0,0.0,-57.15
1258,4.8839,-1976.0,0.0,-57.15
1259,1.7811,-2403.0,0.0,-57.15
126,317.58,-4133.0,30.15,0.0
1260,9.2332,-2399.0,0.0,-57.15
1261,7.1839,-711.0,57.15,0.0
1262,0.30489,-1060.0,0.0,-57.15
1263,9.7915,-1078.0,57.15,0.0
1264,0.2192,-2664.0,57.15,0.0
1265,17.564,-2066.0,57.15,0.0
1266,0.72773,-477.0,57.15,0.0
1267,9.906,-1570.0,57.15,0.0
1268,0.20703,-3474.0,57.15,0.0
1269,1.027,-1421.0,57.15,0.0
127,256.71,-3629.0,30.15,0.0
1270,4.3523,-1580.0,57.15,0.0
1271,0.19378,-2885.0,57.15,0.0
1272,7.035,-4202.0,0.0,-57.15
1273,0.15436,-867.0,0.0,-57.15
1274,25.084,-4983.0,0.0,-57.15
1275,5.5688,-2258.0,57.15,0.0
1276,6.9669,-4591.0,57.15,0.0
1277,0.20394,-2492.0,0.0,-57.15
1278,25.789,-4868.0,57.15,0.0
1279,3.6913,-4936.0,57.15,0.0
128,37.933,-312.0,30.15,0.0
1280,1.8524,-3287.0,57.15,0.0
1281,0.52989,-2426.0,57.15,0.0
1282,0.60574,-2436.0,57.15,0.0
1283,2.5276,-1253.0,57.15,0.0
1284,0.10172,-4957.0,57.15,0.0
1285,17.675,-2294.0,57.15,0.0
1286,29.65,-4072.0,57.15,0.0
1287,2.3177,-4659.0,57.15,0.0
1288,3.9242,-3584.0,57.15,0.0
1289,1.6888,-2693.0,57.15,0.0
129,34.775,-1792.0,30.15,0.0
1290,29.303,-4117.0,57.15,0.0
1291,14.561,-1657.0,57.15,0.0
1292,3.8028,-1009.0,0.0,-57.15
1293,20.289,-3955.0,57.15,0.0
1294,0.56905,-1501.0,0.0,-57.15
1295,4.8844,-4668.0,57.15,0.0
1296,13.32,-3442.0,57.15,0.0
1297,1.767,-1286.0,57.15,0.0
1298,1.2651,-1335.0,57.15,0.0
1299,1.5898,-3409.0,57.15,0.0
13,184.44,-2360.0,30.15,0.0
130,34.37,-1806.0,30.15,0.0
1300,15.554,-1619.0,57.15,0.0
1301,2.0409,-3996.0,57.15,0.0
1302,8.4995,-3310.0,0.0,-57.15
1303,7.0336,-2373.0,0.0,-57.15
1304,22.407,-3410.0,57.15,0.0
1305,3.1782,-768.0,0.0,-57.15
1306,19.834,-2019.0,57.15,0.0
1307,0.10734,-1565.0,0.0,-57.15
1308,8.5274,-1333.0,0.0,-57.15
1309,18.408,-2715.0,57.15,0.0
131,91.891,-1730.0,30.15,0.0
1310,6.4793,-4696.0,57.15,0.0
1311,19.969,-4671.0,57.15,0.0
1312,9.9075,-1059.0,57.15,0.0
1313,8.4297,-4623.0,57.15,0.0
1314,4.831,-1871.0,57.15,0.0
1315,1.5881,-3164.0,57.15,0.0
1316,5.6481,-2541.0,57.15,0.0
1317,7.7582,-1106.0,57.15,0.0
1318,21.936,-2548.0,57.15,0.0
1319,0.74557,-2616.0,0.0,-57.15
132,98.658,-1594.0,30.15,0.0
1320,1.6651,-2712.0,57.15,0.0
1321,9.2372,-2447.0,57.15,0.0
1322,4.8829,-585.0,57.15,0.0
1323,10.408,-991.0,57.15,0.0
1324,2.1902,-1693.0,57.15,0.0
1325,4.687,-3393.0,57.15,0.0
1326,0.72083,-1858.0,57.15,0.0
1327,17.267,-3742.0,57.15,0.0
1328,13.374,-1296.0,57.15,0.0
1329,2.5082,-3280.0,57.15,0.0
133,86.597,-1042.0,30.15,0.0
1330,6.2668,-4706.0,57.15,0.0
1331,4.1771,-4791.0,57.15,0.0
1332,6.9553,-3406.0,57.15,0.0
1333,0.096751,-2346.0,0.0,-57.15
1334,2.2673,-4801.0,57.15,0.0
1335,8.9945,-1728.0,57.15,0.0
1336,14.48,-539.0,57.15,0.0
1337,14.851,-3525.0,57.15,0.0
1338,12.759,-4086.0,57.15,0.0
1339,8.6066,-1727.0,57.15,0.0
134,24.13,-1617.0,30.15,0.0
1340,2.3042,-3063.0,57.15,0.0
1341,2.8057,-1206.0,57.15,0.0
1342,0.050545,-617.0,57.15,0.0
1343,1.1188,-2436.0,57.15,0.0
1344,4.7072,-3378.0,57.15,0.0
1345,11.924,-2601.0,57.15,0.0
1346,1.6523,-1064.0,57.15,0.0
1347,3.2196,-898.0,57.15,0.0
1348,1.6677,-4338.0,57.15,0.0
1349,2.7514,-4387.0,57.15,0.0
135,300.33,-4184.0,30.15,0.0
1350,3.9957,-2394.0,57.15,0.0
1351,17.757,-2519.0,57.15,0.0
1352,0.21712,-4456.0,57.15,0.0
1353,0.52732,-796.0,0.0,-57.15
1354,13.274,-2434.0,57.15,0.0
