File Name,Max Deformation Y,X,Y,Z
1075,0.49175,839.6,0.0,50.8
1076,1.2501,-1141.0,0.0,50.8
1077,0.71563,-1167.2,0.0,50.8
1078,2.0985,389.64,9.9556,43.618
1079,0.32654,-516.65,0.0,50.8
108,13.881,-632.67,12.657,26.284
1080,2.7447,364.88,11.304,49.526
1081,0.33506,1696.4,0.0,50.8
1082,5.676,-374.97,11.304,49.526
1083,1.4921,308.71,21.165,43.949
1084,1.8678,-1573.8,9.9556,43.618
1085,0.53801,-1570.5,0.0,50.8
1086,0.57438,975.34,0.0,50.8
1087,1.1398,846.35,20.288,42.129
1088,0.052353,81.0,0.0,-50.8
1089,0.011202,-84.232,0.0,50.8
109,4.915,286.17,6.709,29.394
1090,2.1216,-948.99,0.0,-50.8
1091,0.38416,-1691.8,0.0,50.8
1092,0.33746,-1958.0,0.0,50.8
1093,1.1063,-1299.5,9.9556,43.618
1094,1.8974,-814.56,10.405,45.588
1095,0.41583,-600.13,0.0,50.8
1096,2.9219,-572.17,11.304,49.526
1097,0.3494,218.19,0.0,50.8
1098,0.0058301,104.72,0.0,50.8
1099,2.4131,-651.96,10.855,47.557
11,3.4751,-171.31,0.0,30.15
110,22.256,-851.52,6.709,29.394
1100,2.4391,-1249.1,9.9556,43.618
1101,0.32238,1159.6,0.0,-50.8
1102,0.34606,862.56,0.0,-50.8
1103,5.1179,-30.2,0.0,-114.3
1104,1.774,-514.07,10.405,45.588
1105,1.4268,236.87,0.0,-50.8
1106,0.022056,-430.57,0.0,50.8
1107,0.4367,566.75,0.0,50.8
1108,0.8135,-1946.7,0.0,50.8
1109,2.2774,608.78,0.0,50.8
111,39.381,-331.45,12.657,26.284
1110,2.739,-277.98,11.304,49.526
1111,2.9753,-1130.5,0.0,50.8
1112,0.1224,296.91,0.0,50.8
1113,1.9805,-118.51,0.0,50.8
1114,6.3507,108.04,0.0,50.8
1115,0.44209,-1374.7,11.304,49.526
1116,1.281,-1820.2,0.0,-50.8
1117,2.4227,-946.75,0.0,-50.8
1118,0.019277,-233.73,0.0,50.8
1119,0.11083,-1292.8,11.304,-49.526
112,0.96391,88.523,0.0,-30.15
1120,0.92671,-225.29,0.0,-50.8
1121,0.1536,419.51,11.304,49.526
1122,4.4282,902.82,0.0,50.8
1123,3.3172,980.27,10.405,45.588
1124,4.0713,749.7,0.0,50.8
1125,4.1498,525.88,0.0,50.8
1126,6.94,329.03,10.855,47.557
1127,9.092,111.85,0.0,50.8
1128,2.5914,751.4,10.405,45.588
1129,0.44083,1321.7,11.304,49.526
113,44.333,-236.69,11.809,24.522
1130,3.2275,416.14,10.405,45.588
1131,4.2953,-530.47,0.0,-50.8
1132,4.9148,417.2,0.0,-50.8
1133,5.209,-490.44,0.0,-50.8
1134,1.7813,-704.07,0.0,-50.8
1135,3.2892,-976.49,0.0,-50.8
1136,0.52419,-1633.4,0.0,50.8
1137,1.9347,-336.16,10.855,47.557
1138,0.63262,-1633.3,0.0,50.8
1139,3.0339,375.98,10.405,45.588
114,8.9034,-842.03,6.709,29.394
1140,3.8937,-888.32,10.405,45.588
1141,0.072136,76.2,0.0,-57.15
1142,1.139,-481.87,11.712,-51.315
1143,2.138,-1389.3,0.0,-57.15
1144,2.3639,216.3,0.0,57.15
1145,0.15294,-1196.0,0.0,57.15
1146,3.587,1008.1,12.717,55.717
1147,0.15854,-425.27,0.0,57.15
