File Name,Max Deformation Z,X,Y,Z
1085,9.736e-05,-3887.6,31.673,39.717
1086,8.2294e-05,-1130.3,-35.921,35.921
1087,0.00013131,-1690.0,39.717,31.673
1088,0.0059533,30.2,-114.3,0.0
1089,2.9824e-05,46.286,35.921,-35.921
109,0.0004316,-1585.3,21.319,21.319
1090,0.05888,-423.49,45.769,22.041
1091,7.3848e-05,-3965.5,31.673,39.717
1092,5.9501e-05,-4385.6,35.921,35.921
1093,0.00014604,-4011.9,35.921,35.921
1094,0.00019525,-3832.0,35.921,35.921
1095,0.0001129,-2413.8,31.673,39.717
1096,0.00022638,-3971.7,-35.921,35.921
1097,0.00010463,-1409.7,-35.921,35.921
1098,4.3853e-06,-304.91,31.673,39.717
1099,0.00020983,-3848.3,-35.921,35.921
11,0.00038441,-1843.4,21.319,21.319
110,0.00079445,-91.914,18.798,23.572
1100,0.00019597,-4704.8,-35.921,35.921
1101,0.00068759,1603.2,-35.921,35.921
1102,0.0025706,1160.0,49.526,-11.304
1103,0.10111,403.32,49.526,11.304
1104,0.00018226,-3446.5,-35.921,35.921
1105,0.031021,532.44,50.8,0.0
1106,5.1041e-06,-132.82,31.673,-39.717
1107,0.00010684,-1169.4,31.673,39.717
1108,9.2288e-05,-4850.9,-35.921,35.921
1109,0.00020726,-2434.8,31.673,39.717
111,0.00097826,97.013,-23.572,18.798
1110,0.00021994,-3544.0,35.921,35.921
1111,0.00021895,-4670.7,35.921,35.921
1112,7.0279e-05,-869.16,31.673,39.717
1113,0.00020081,-2987.5,39.717,31.673
1114,0.00029497,-4234.5,35.921,35.921
1115,8.8696e-05,-3576.5,-31.673,39.717
1116,0.03618,-1260.1,50.8,0.0
1117,0.078425,-391.79,50.8,0.0
1118,8.8083e-06,40.5,35.921,-35.921
1119,0.0017099,-948.86,50.8,0.0
112,0.00021705,-1059.0,18.798,23.572
1120,0.035582,30.2,114.3,0.0
1121,7.1896e-05,-851.15,31.673,39.717
1122,0.00024886,-2933.9,35.921,35.921
1123,0.00021791,-2481.8,31.673,39.717
1124,0.00024575,-2942.8,35.921,35.921
1125,0.00025382,-3189.8,35.921,35.921
1126,0.00030247,-4105.3,35.921,35.921
1127,0.00032783,-4774.2,31.673,39.717
