File Name,Max Deformation Y,X,Y,Z
1051,2.1999,-250.57,10.405,45.588
1052,1.9762,174.91,10.855,47.557
1053,0.66365,565.19,0.0,50.8
1054,1.1193,-915.4,10.855,47.557
1055,0.061565,2363.1,0.0,50.8
1056,2.4952,351.99,10.855,47.557
1057,0.24555,-81.0,0.0,-50.8
1058,0.24347,1274.5,0.0,50.8
1059,0.022217,81.0,0.0,-50.8
106,32.291,417.63,11.809,24.522
1060,0.43366,533.58,0.0,50.8
1061,0.047241,122.68,0.0,50.8
1062,0.23603,1653.2,0.0,50.8
1063,0.79162,239.15,0.0,50.8
1064,0.010786,581.21,0.0,50.8
1065,0.02084,992.61,0.0,50.8
1066,0.0034707,-289.14,0.0,50.8
1067,0.67015,-496.13,0.0,50.8
1068,0.11001,134.17,0.0,50.8
1069,1.3676,1123.4,19.412,40.309
107,4.7304,82.039,0.0,30.15
1070,0.029979,1134.8,0.0,50.8
1071,0.08293,1581.2,0.0,50.8
1072,0.14345,-753.5,11.304,-49.526
1073,0.51419,1158.1,0.0,50.8
1074,0.42311,745.16,11.304,49.526
1075,0.16048,1144.5,11.304,49.526
1076,0.65306,-685.78,0.0,50.8
1077,0.36711,-769.73,0.0,50.8
1078,0.88465,727.55,0.0,50.8
1079,0.14721,-252.48,0.0,50.8
108,6.9466,-228.91,0.0,30.15
1080,1.1729,726.08,19.412,40.309
1081,0.056832,2060.2,0.0,-50.8
1082,2.6606,341.74,11.304,49.526
1083,0.64506,690.75,0.0,50.8
1084,0.99668,-1058.5,0.0,50.8
1085,0.29652,-1167.5,0.0,50.8
1086,0.18646,1292.4,10.855,47.557
1087,0.41907,1205.1,0.0,50.8
1088,0.024454,81.0,0.0,-50.8
1089,0.0060812,81.0,50.8,0.0
109,2.0471,504.93,6.4915,28.441
1090,1.0844,-423.49,9.9556,43.618
1091,0.21436,-1323.0,0.0,50.8
1092,0.1893,-1567.9,0.0,50.8
1093,0.58988,-868.96,0.0,50.8
1094,0.95386,-364.2,0.0,50.8
1095,0.2114,-318.93,0.0,50.8
1096,1.4223,-79.48,0.0,50.8
