File Name,Max Deformation Z,X,Y,Z
1039,0.00012843,-123.57,35.921,-35.921
104,0.00017616,100.39,21.319,21.319
1040,3.8028e-05,-108.9,35.921,-35.921
1041,0.035716,1.5,-114.3,0.0
1042,0.015968,-1583.7,-50.481,-5.6878
1043,0.012143,1926.2,-50.481,-5.6878
1044,0.015999,30.2,-114.3,0.0
1045,0.01239,-30.2,-114.3,0.0
1046,0.00010759,-122.99,35.921,35.921
1047,0.00026992,-135.45,35.921,-35.921
1048,5.2384e-05,-140.67,35.921,-35.921
1049,0.00019612,-148.68,35.921,-35.921
105,0.00083014,-99.716,-18.798,23.572
1050,6.4663e-05,1832.9,-35.921,-35.921
1051,0.00029566,-136.51,35.921,35.921
1052,0.0003107,-132.0,35.921,35.921
1053,0.00022859,116.84,35.921,35.921
1054,0.00018474,-1124.4,35.921,35.921
1055,0.00055109,-4234.5,-35.921,35.921
1056,0.15187,-30.2,-114.3,0.0
1057,0.021498,-30.2,-114.3,0.0
1058,0.021188,30.2,-114.3,0.0
1059,0.0057642,-30.2,-114.3,0.0
106,0.0025349,-99.019,-23.572,-18.798
1060,0.038064,30.2,-114.3,0.0
1061,9.9812e-05,-124.0,35.921,-35.921
1062,0.00013097,135.01,35.921,35.921
1063,0.00024672,-132.7,35.921,35.921
1064,5.5239e-05,124.59,35.921,-35.921
1065,5.0094e-05,136.77,35.921,-35.921
1066,4.0948e-05,-131.89,35.921,-35.921
1067,0.00018644,-121.14,35.921,35.921
1068,0.000126,-119.31,35.921,-35.921
1069,0.00028734,131.67,35.921,35.921
107,0.00079577,96.669,-21.319,-21.319
1070,5.5428e-05,655.11,35.921,-35.921
1071,7.8643e-05,749.75,35.921,35.921
1072,0.006616,-1044.2,-49.526,-11.304
1073,0.031914,30.2,-114.3,0.0
1074,0.028502,30.2,-114.3,0.0
1075,0.00012783,139.9,35.921,-35.921
1076,0.00018005,-139.5,35.921,35.921
1077,0.00013393,-133.73,35.921,-35.921
