File Name,Max Deformation,X,Y,Z
1238,1.4727,85.9,0.0,57.15
1239,1.8157,-296.84,12.047,52.783
124,2.3659,1029.8,6.4008,28.044
1240,0.25494,938.33,0.0,57.15
1241,0.50592,309.52,0.0,57.15
1242,0.027265,4926.0,57.15,0.0
1243,0.10521,4808.0,57.15,0.0
1244,2.1053,-168.71,47.422,22.837
1245,0.97626,44.5,0.0,-136.55
1246,1.8553,-236.19,22.837,47.422
1247,0.094166,1321.4,0.0,-57.15
1248,0.11628,580.57,0.0,-57.15
1249,0.26654,187.38,0.0,-57.15
125,5.0733,752.6,6.4008,28.044
1250,0.069265,1453.3,0.0,-57.15
1251,0.020393,4765.0,57.15,0.0
1252,0.60847,559.98,0.0,57.15
1253,0.0072848,4365.0,57.15,0.0
1254,1.3542,195.45,11.712,51.315
1255,1.4607,85.9,0.0,57.15
1256,0.0055806,4463.0,55.717,12.717
1257,0.60613,-202.31,46.067,22.184
1258,0.39634,674.71,0.0,-57.15
1259,0.51362,413.08,0.0,-57.15
126,13.037,264.74,12.481,25.916
1260,0.56396,562.06,0.0,-57.15
1261,0.046097,1524.6,0.0,-57.15
1262,0.07598,684.19,0.0,-57.15
1263,0.102,1382.3,0.0,-57.15
1264,0.37136,76.2,43.779,-36.735
1265,0.05451,1014.3,0.0,-57.15
1266,0.021853,1264.9,0.0,-57.15
1267,0.20269,1127.2,0.0,57.15
1268,0.5748,-292.36,0.0,57.15
1269,0.15418,881.06,0.0,57.15
127,10.137,415.16,25.343,5.7844
1270,0.20309,1062.9,0.0,57.15
1271,0.4207,101.6,40.411,-40.411
1272,1.1536,101.6,0.0,57.15
1273,0.044693,561.06,0.0,-57.15
1274,1.5971,-206.33,39.662,31.63
1275,0.38911,763.85,0.0,-57.15
1276,1.3556,-111.58,0.0,57.15
1277,0.32519,76.2,0.0,-57.15
1278,1.556,-147.7,22.011,45.706
1279,1.5071,-250.14,0.0,57.15
128,0.1039,1657.8,6.709,29.394
1280,0.71047,183.98,0.0,57.15
1281,0.33673,300.72,0.0,57.15
1282,0.34698,314.82,0.0,57.15
1283,0.13518,1070.5,12.241,53.631
1284,1.1129,-726.59,12.241,53.631
1285,0.42321,839.72,0.0,57.15
1286,1.2117,101.6,-52.8,21.87
1287,1.3149,-209.05,22.011,45.706
1288,0.86139,101.6,0.0,-57.15
1289,0.4889,390.44,0.0,57.15
129,2.7833,943.03,6.709,29.394
1290,1.2279,101.6,-57.15,0.0
1291,0.23996,1129.8,0.0,-57.15
1292,0.094491,1289.2,0.0,-57.15
1293,1.0724,76.2,57.15,0.0
1294,0.15565,614.05,0.0,-57.15
1295,1.3826,-162.88,31.63,39.662
1296,0.79494,331.6,0.0,57.15
1297,0.13847,971.3,12.717,55.717
1298,0.14143,886.24,12.717,55.717
1299,0.71505,191.0,0.0,57.15
13,6.002,774.05,6.0565,26.535
130,2.8203,937.03,0.0,30.15
1300,0.10244,4597.0,57.15,0.0
1301,0.99802,101.6,0.0,-57.15
1302,0.75937,316.4,0.0,57.15
1303,0.42194,624.57,0.0,57.15
1304,0.85435,391.52,0.0,57.15
1305,0.059999,1329.9,0.0,-57.15
1306,0.16867,4878.0,57.15,0.0
1307,0.1109,267.93,0.0,-57.15
1308,0.15734,1128.3,12.241,-53.631
1309,0.57145,660.33,0.0,57.15
131,2.6364,991.02,6.0926,26.694
1310,1.4096,-139.66,39.662,31.63
1311,1.3705,-154.68,11.288,49.458
1312,0.10633,1267.4,12.241,53.631
1313,1.3282,-148.37,11.765,51.544
1314,0.27157,827.41,0.0,57.15
