pipe_dn,pipe_schedule,flange_class,outside_diameter,length1,length2,wall_thickness,lumped_mass,raised_face_depth,w_neck_c,flange_outer_radius,flange_thickness_d,raised_face_radius,x_deformation_position,y_deformation_position,z_deformation_position,frequency,support_right,support_left,support,allowable_deformation,,,
50,40,600,60.3,3944,2612,3.91,0,6.4,73.2,82.55,25.4,45.95,608.81,0,30.15,6.8173,Fixed,Fixed,Fixed_Fixed,11.111,874.8818898,336.5351441,
50,40,150,60.3,472,2459,3.91,17,1.5,63.5,76.2,17.6,45.95,-889.52,6.709,29.394,35.4344,Fixed,Fixed,Fixed_Fixed,11.384,896.3779528,1792.193265,
50,40,150,60.3,848,2835,3.91,17,1.5,63.5,76.2,17.6,45.95,-819.47,0,30.15,19.4951,Fixed,Fixed,Fixed_Fixed,5.055,398.0314961,437.8360304,
50,40,150,60.3,3831,3364,3.91,17,1.5,63.5,76.2,17.6,45.95,215.97,0,30.15,4.4851,Fixed,Fixed,Fixed_Fixed,12.003,945.1181102,239.1810715,
50,40,150,60.3,1424,4929,3.91,17,1.5,63.5,76.2,17.6,45.95,-1547,11.809,24.522,7.4583,Fixed,Fixed,Fixed_Fixed,22.748,1791.181102,753.7857766,
50,40,150,60.3,1498,3288,3.91,17,1.5,63.5,76.2,17.6,45.95,-689.57,11.809,24.522,10.414,Fixed,Fixed,Fixed_Fixed,6.114,481.4173228,282.8836704,
50,40,300,60.3,4331,2128,3.91,30,1.5,69.9,82.55,20.9,45.95,799.47,6.0565,26.535,5.202,Fixed,Fixed,Fixed_Fixed,11.176,880,258.2983378,
50,40,300,60.3,4764,4881,3.91,30,1.5,69.9,82.55,20.9,45.95,-73.81,30.15,0,2.3196,Fixed,Fixed,Fixed_Fixed,22.647,1783.228346,233.393443,
50,40,300,60.3,2940,4442,3.91,30,1.5,69.9,82.55,20.9,45.95,-565.23,0,30.15,3.8053,Fixed,Fixed,Fixed_Fixed,13.555,1067.322835,229.1676406,
50,40,300,60.3,1140,2770,3.91,30,1.5,69.9,82.55,20.9,45.95,-594.66,0,30.15,12.8967,Fixed,Fixed,Fixed_Fixed,4.05,318.8976378,232.05904,
50,40,300,60.3,3920,4660,3.91,30,1.5,69.9,82.55,20.9,45.95,-315.19,0,-30.15,2.8467,Fixed,Fixed,Fixed_Fixed,17.901,1409.527559,226.4038795,
50,40,600,60.3,2614,3503,3.91,45,6.4,73.2,82.55,25.4,45.95,-334.05,0,30.15,4.4236,Fixed,Fixed,Fixed_Fixed,7.956,626.4566929,156.3635401,
50,40,600,60.3,3267,1054,3.91,45,6.4,73.2,82.55,25.4,45.95,839.91,11.809,24.522,10.918,Fixed,Fixed,Fixed_Fixed,4.825,379.9212598,234.0481853,
50,40,600,60.3,4246,1899,3.91,45,6.4,73.2,82.55,25.4,45.95,835.09,6.0565,26.535,5.1748,Fixed,Fixed,Fixed_Fixed,8.86,697.6377953,203.7005314,
50,40,600,60.3,2467,768,3.91,45,6.4,73.2,82.55,25.4,45.95,622.63,6.709,29.394,17.8241,Fixed,Fixed,Fixed_Fixed,2.565,201.9685039,203.1233498,
50,40,600,60.3,2640,4141,3.91,45,6.4,73.2,82.55,25.4,45.95,-512.53,6.4915,28.441,3.8761,Fixed,Fixed,Fixed_Fixed,10.006,787.8740157,172.3139119,
50,40,150,60.3,3493,4734,3.91,12.75,1.5,63.5,76.2,17.6,45.95,-475.74,24.522,11.809,3.8262,Fixed,Fixed,Fixed_Fixed,16.496,1298.897638,280.4214211,
50,40,150,60.3,3359,3482,3.91,12.75,1.5,63.5,76.2,17.6,45.95,-89.874,0,30.15,5.1773,Fixed,Fixed,Fixed_Fixed,10.956,862.6771654,252.0114221,
50,40,150,60.3,1563,2167,3.91,12.75,1.5,63.5,76.2,17.6,45.95,-251.12,0,30.15,14.9679,Fixed,Fixed,Fixed_Fixed,3.157,248.5826772,209.9424811,
50,40,150,60.3,616,4796,3.91,12.75,1.5,63.5,76.2,17.6,45.95,-2053.4,6.4915,28.441,12.095,Fixed,Fixed,Fixed_Fixed,10.589,833.7795276,569.0175895,
50,40,150,60.3,3926,3027,3.91,12.75,1.5,63.5,76.2,17.6,45.95,356.8,6.4915,28.441,5.1105,Fixed,Fixed,Fixed_Fixed,11.553,909.6850394,262.3149462,
