pipe_dn,pipe_schedule,flange_class,outside_diameter,length1,length2,wall_thickness,lumped_mass,raised_face_depth,w_neck_c,flange_outer_radius,flange_thickness_d,raised_face_radius,x_deformation_position,y_deformation_position,z_deformation_position,frequency,support_right,support_left,support,allowable_deformation
80,STD,600,88.9,933.0,4825.0,5.49,57.0,6.4,82.6,104.8,31.8,63.5,-1815.1,9.8911,-43.336,14.0699,Fixed,Fixed,Fixed_Fixed,31.749
80,STD,600,88.9,3242.0,389.0,5.49,57.0,6.4,82.6,104.8,31.8,63.5,1412.7,0.0,-44.45,38.9555,Fixed,Fixed,Fixed_Fixed,2.626
80,STD,600,88.9,4339.0,1823.0,5.49,57.0,6.4,82.6,104.8,31.8,63.5,957.59,0.0,44.45,8.8855,Fixed,Fixed,Fixed_Fixed,6.615
80,STD,600,88.9,591.0,682.0,5.49,57.0,6.4,82.6,104.8,31.8,63.5,38.2,0.0,-104.8,75.4534,Fixed,Fixed,Fixed_Fixed,0.284
80,STD,600,88.9,788.0,4290.0,5.49,57.0,6.4,82.6,104.8,31.8,63.5,-1620.0,0.0,-44.45,18.0529,Fixed,Fixed,Fixed_Fixed,22.742
80,STD,150,88.9,1192.0,988.0,5.49,36.25,1.5,69.9,95.25,22.4,63.5,23.9,0.0,-95.25,45.3548,Fixed,Fixed,Fixed_Fixed,0.687
80,STD,150,88.9,755.0,1382.0,5.49,36.25,1.5,69.9,95.25,22.4,63.5,-23.9,0.0,-95.25,51.6584,Fixed,Fixed,Fixed_Fixed,0.584
80,STD,150,88.9,498.0,888.0,5.49,36.25,1.5,69.9,95.25,22.4,63.5,-23.9,0.0,-95.25,92.5817,Fixed,Fixed,Fixed_Fixed,0.283
80,STD,150,88.9,4545.0,1406.0,5.49,36.25,1.5,69.9,95.25,22.4,63.5,1338.5,0.0,-44.45,12.0877,Fixed,Fixed,Fixed_Fixed,11.545
80,STD,150,88.9,3290.0,4591.0,5.49,36.25,1.5,69.9,95.25,22.4,63.5,-470.51,9.2802,40.659,5.7396,Fixed,Fixed,Fixed_Fixed,9.284
80,STD,300,88.9,4529.0,4886.0,5.49,71.25,1.5,79.2,107.95,26.9,63.5,-116.28,35.102,16.904,3.4066,Fixed,Fixed,Fixed_Fixed,12.547
80,STD,300,88.9,3281.0,4623.0,5.49,71.25,1.5,79.2,107.95,26.9,63.5,-481.79,18.691,38.811,4.7228,Fixed,Fixed,Fixed_Fixed,11.091
80,STD,300,88.9,1246.0,2545.0,5.49,71.25,1.5,79.2,107.95,26.9,63.5,-427.29,0.0,-44.45,17.2206,Fixed,Fixed,Fixed_Fixed,1.948
80,STD,300,88.9,4456.0,1119.0,5.49,71.25,1.5,79.2,107.95,26.9,63.5,1415.1,9.8911,-43.336,12.9315,Fixed,Fixed,Fixed_Fixed,12.145
80,STD,300,88.9,2098.0,2814.0,5.49,71.25,1.5,79.2,107.95,26.9,63.5,-221.16,0.0,44.45,10.0366,Fixed,Fixed,Fixed_Fixed,3.293
80,STD,600,88.9,582.0,1576.0,5.49,95.0,6.4,82.6,104.8,31.8,63.5,-324.8,0.0,-44.45,41.3775,Fixed,Fixed,Fixed_Fixed,0.515
80,STD,600,88.9,1198.0,2719.0,5.49,95.0,6.4,82.6,104.8,31.8,63.5,-489.06,0.0,-44.45,15.4889,Fixed,Fixed,Fixed_Fixed,1.984
80,STD,600,88.9,3518.0,3222.0,5.49,95.0,6.4,82.6,104.8,31.8,63.5,133.22,9.8911,-43.336,5.4183,Fixed,Fixed,Fixed_Fixed,5.082
80,STD,600,88.9,1085.0,4123.0,5.49,95.0,6.4,82.6,104.8,31.8,63.5,-1184.5,0.0,-44.45,13.1752,Fixed,Fixed,Fixed_Fixed,5.076
80,STD,600,88.9,3532.0,1108.0,5.49,95.0,6.4,82.6,104.8,31.8,63.5,874.2,0.0,-44.45,14.3071,Fixed,Fixed,Fixed_Fixed,4.116
80,80,150,88.9,1092.0,2412.0,7.62,0.0,1.5,69.9,95.25,22.4,63.5,-595.6,0.0,-44.45,37.305,Fixed,Fixed,Fixed_Fixed,3.192
80,80,150,88.9,3510.0,1627.0,7.62,0.0,1.5,69.9,95.25,22.4,63.5,857.63,0.0,-44.45,18.012,Fixed,Fixed,Fixed_Fixed,8.75
80,80,150,88.9,3732.0,4560.0,7.62,0.0,1.5,69.9,95.25,22.4,63.5,-357.67,8.6193,37.764,6.8967,Fixed,Fixed,Fixed_Fixed,13.586
80,80,150,88.9,4704.0,4437.0,7.62,0.0,1.5,69.9,95.25,22.4,63.5,69.9,0.0,44.45,5.7037,Fixed,Fixed,Fixed_Fixed,16.342
80,80,150,88.9,3539.0,1761.0,7.62,0.0,1.5,69.9,95.25,22.4,63.5,819.27,0.0,-44.45,16.8319,Fixed,Fixed,Fixed_Fixed,8.327
80,80,300,88.9,1965.0,1186.0,7.62,0.0,1.5,79.2,107.95,26.9,63.5,321.59,0.0,44.45,40.3812,Fixed,Fixed,Fixed_Fixed,2.163
80,80,300,88.9,4358.0,1681.0,7.62,0.0,1.5,79.2,107.95,26.9,63.5,1251.7,0.0,-44.45,13.0878,Fixed,Fixed,Fixed_Fixed,17.038
80,80,300,88.9,2183.0,1046.0,7.62,0.0,1.5,79.2,107.95,26.9,63.5,486.09,0.0,-44.45,40.4958,Fixed,Fixed,Fixed_Fixed,2.892
80,80,300,88.9,1931.0,2248.0,7.62,0.0,1.5,79.2,107.95,26.9,63.5,-130.42,-4.9768,44.171,23.3915,Fixed,Fixed,Fixed_Fixed,3.156
80,80,300,88.9,3730.0,1627.0,7.62,0.0,1.5,79.2,107.95,26.9,63.5,956.22,0.0,44.45,16.1453,Fixed,Fixed,Fixed_Fixed,9.833
80,80,600,88.9,964.0,1947.0,7.62,0.0,6.4,82.6,104.8,31.8,63.5,-399.68,0.0,-44.45,47.6019,Fixed,Fixed,Fixed_Fixed,1.661
80,80,600,88.9,2998.0,1905.0,7.62,0.0,6.4,82.6,104.8,31.8,63.5,453.69,0.0,44.45,17.7387,Fixed,Fixed,Fixed_Fixed,4.942
80,80,600,88.9,2295.0,3788.0,7.62,0.0,6.4,82.6,104.8,31.8,63.5,-662.5,0.0,-44.45,11.9927,Fixed,Fixed,Fixed_Fixed,7.398
80,80,600,88.9,2444.0,1527.0,7.62,0.0,6.4,82.6,104.8,31.8,63.5,355.97,0.0,44.45,26.0749,Fixed,Fixed,Fixed_Fixed,3.229
80,80,600,88.9,3425.0,4265.0,7.62,0.0,6.4,82.6,104.8,31.8,63.5,-351.14,8.6193,37.764,7.5515,Fixed,Fixed,Fixed_Fixed,10.848
